"","x"
"Amoxicillin","70518-3914, 68071-3119, 72789-254, 72789-254, 71205-035, 59115-041, 68788-6369, 68788-6374, 0781-2020, 43063-820, 70518-3886, 71205-775, 68071-4455, 0143-9939, 68788-8352, 65862-014, 65862-015, 68071-3235, 0093-2263, 65862-016, 55289-019, 65862-017, 55289-020, 68071-2558, 50090-0858, 63187-262, 68071-4548, 0093-2264, 0093-2267, 82982-022, 53002-4369, 68071-4693, 76420-003, 68071-4741, 80425-0269, 71205-817, 0093-2268, 76420-508, 43063-885, 63629-7585, 63629-7587, 63187-295, 68788-9948, 68788-9949, 63629-7633, 53002-2080, 67296-1914, 53002-2090, 63187-591, 53002-2091, 68071-1760, 68071-2604, 65862-070, 65862-071, 53002-2160, 68071-1826, 50090-5863, 50090-2251, 83112-031, 0093-4155, 43063-915, 76420-545, 0093-3107, 50090-1086, 16714-298, 16714-299, 50090-5880, 68071-4953, 63187-325, 53002-0130, 53002-0131, 63629-7798, 68999-825, 0093-4160, 63187-335, 0093-3109, 53002-0170, 63629-7801, 53002-0171, 63187-029, 63187-343, 0143-9886, 63187-880, 68071-2875, 0093-4161, 76420-573, 63187-043, 63187-044, 68071-5096, 42708-010, 53002-2369, 0781-2613, 0143-9887, 70518-2188, 70518-2190, 70518-2191, 42571-233, 42571-234, 43063-563, 0143-9888, 43063-574, 70882-113, 70882-114, 68788-8209, 0143-9889, 50090-1347, 50090-6319, 68071-2908, 42708-076, 50090-6323, 63187-399, 42708-078, 68071-2911, 68788-7318, 68788-7323, 71205-422, 0781-6039, 55289-182, 43063-341, 67296-1894, 50090-0288, 50090-6349, 71205-177, 50090-0301, 50090-0302, 50090-6351, 50090-0303, 50090-0304, 68788-8240, 50090-6355, 0781-6041, 71205-436, 42708-112, 50090-6680, 70518-3234, 50090-1511, 68071-3517, 50090-1512, 76420-112, 50090-1513, 50090-1514, 70518-0895, 70934-038, 68788-7414, 50436-0031, 50090-0404, 50090-0405, 50090-0406, 50090-0407, 70934-064, 53002-1369, 66267-994, 65862-706, 65862-707, 42708-153, 50090-0455, 68788-8519, 76420-138, 0143-9285, 67296-0986, 63187-729, 50090-6056, 76420-192, 0781-5061, 70518-3294, 70518-3832, 67296-1126, 50090-1810, 51655-156, 68071-2320, 68788-8304, 50090-1811, 72789-224, 72789-225, 50090-1812, 63187-186, 67296-1156, 50090-1813, 50090-1825, 50090-1826, 68788-9017, 68788-9018, 68788-9019, 0781-6156, 71205-507, 81964-205, 63187-200, 68071-2766, 72189-463, 81964-225, 53002-3369, 68788-8324, 68788-8325, 50090-6466, 57237-028, 0781-6157, 50090-6791, 57237-029, 57237-030, 71205-266, 50090-6469, 57237-031, 57237-032, 57237-033, 50090-0709, 50090-0713"
"amoxicillin","63187-013, 63187-027"
"Amoxicillin+and+Clavulanate+Potassium","68071-4586, 80425-0217, 68071-3107, 72789-253, 71205-036, 50090-4604, 70518-3624, 53002-1716, 43063-077, 70518-3631, 63187-803, 50090-0822, 50090-0831, 68788-8355, 50090-0832, 53002-3716, 65862-501, 65862-502, 65862-503, 65862-533, 50090-6529, 65862-534, 65862-535, 43063-377, 76420-005, 76420-501, 82804-017, 76420-503, 76420-507, 71205-331, 70518-3676, 76420-529, 80425-0279, 0093-2270, 60432-065, 50090-2219, 68788-8157, 63187-014, 16714-292, 0143-9981, 53002-0051, 16714-293, 68071-2852, 16714-294, 50090-6222, 63187-857, 68071-2853, 16714-295, 16714-296, 0093-2272, 16714-297, 50090-5873, 53002-0100, 0143-9982, 59651-025, 59651-026, 63187-327, 70518-2625, 42571-160, 45865-980, 42571-161, 68788-7127, 0093-2274, 42571-162, 42571-163, 82982-069, 42571-164, 63187-032, 68788-7805, 68071-2630, 55289-767, 68071-5057, 68071-5065, 0093-2275, 71205-620, 55289-845, 68071-2641, 53002-2390, 53002-2392, 0093-2277, 50090-5932, 70518-2225, 70882-111, 68071-2896, 0093-2279, 67296-0123, 68071-2227, 76420-607, 76420-608, 71205-651, 70518-2263, 72789-147, 68071-2916, 68071-5207, 68071-3402, 63187-826, 82982-019, 53002-7890, 68071-5208, 53002-7892, 53002-7899, 68071-5216, 16714-014, 16714-476, 16714-477, 68071-2933, 70518-3523, 71297-240, 0781-6102, 67296-0904, 0781-6104, 0781-1831, 68788-8271, 71205-462, 0093-8675, 0143-9853, 68788-7958, 71205-712, 68788-8283, 45865-418, 62135-462, 0781-1852, 68788-7965, 67296-1650, 50090-3047, 28595-240, 0143-9249, 80425-0180, 0781-6139, 68788-7531, 68788-8299, 68071-2982, 0781-1874, 63187-488, 68071-2751, 68788-8305, 68788-8306, 68788-8308, 69452-336, 69452-337, 0781-1943, 71205-014, 68788-8317, 50090-3179, 68788-8318, 81964-204, 63187-770, 50090-1857, 68788-7998, 81964-212, 68788-0047, 68788-8000, 70518-3604, 68788-0483, 68788-0598, 68071-2502"
"amoxicillin+and+clavulanate+potassium","68788-9319, 63187-542, 45865-927, 53002-0050, 68071-2851, 63187-320, 63187-881, 70518-2189, 53002-2391, 50090-6324, 66685-1001, 66685-1002, 66685-1011, 66685-1012, 82982-018, 45865-870, 53002-7891, 53002-7895, 53002-7898, 63187-423, 16714-478, 16714-494, 70518-2325, 50090-6381, 68071-2298, 62135-463, 71205-719, 68788-8307, 81964-003, 81964-203, 81964-221"
"Azithromycin","68071-1527, 68788-8124, 68788-8125, 80425-0219, 55700-852, 71335-1252, 71610-001, 43386-470, 16571-695, 43386-471, 16571-696, 82982-021, 46708-057, 46708-058, 55695-002, 55695-003, 76420-006, 60760-808, 50090-5366, 68071-4779, 50090-4720, 50090-5376, 68071-4812, 63187-007, 63187-594, 0093-2026, 59651-007, 59651-008, 63187-604, 0093-2027, 14335-200, 14335-201, 63629-7784, 14335-202, 68071-2622, 53002-5228, 70518-0599, 63187-622, 53002-0473, 50090-6267, 69306-250, 50111-787, 50111-788, 76420-589, 50111-789, 53002-6221, 71205-645, 65862-641, 68071-2905, 65862-642, 71205-158, 70518-0784, 68788-8222, 68071-2672, 63629-8034, 67296-1510, 68788-8229, 63187-093, 71205-424, 70518-3508, 62332-251, 62332-252, 70518-3217, 70771-1422, 70771-1423, 70771-1424, 70771-1425, 71335-1755, 71205-674, 68788-8246, 69452-171, 60760-502, 69452-172, 68071-2937, 68071-2266, 69452-173, 70518-3254, 71205-196, 68788-8260, 68071-5238, 71205-216, 68071-2963, 68788-7507, 63629-8251, 68071-2297, 63187-169, 70710-1457, 70710-1458, 70710-1459, 70710-1460, 76420-213, 50090-6436, 0781-8089, 71335-1195, 70518-2433, 63187-189, 50090-4458, 71205-503, 0781-8090, 45865-536, 68788-7598, 71205-021, 0781-8091, 42291-082, 42291-083, 42291-084, 71205-519"
"azithromycin","68071-2529, 59762-3110, 59762-3120, 59762-3130, 59762-3140, 68071-2543, 67296-1870, 50090-6226, 53002-2231, 50090-2491, 50090-6296, 50090-2509, 42806-147, 42806-149, 42806-150, 42806-151, 59762-2198"
"Cefadroxil","72189-506, 57237-096, 57237-097, 70518-2538, 57237-098, 68071-4690, 65862-083, 55289-589, 65862-084, 65862-085, 53002-2290, 63187-883, 43063-553, 16714-388, 16714-389, 16714-390, 43063-595, 63629-7987, 63629-7988, 68180-180, 68180-181, 68180-182, 70518-2271, 68788-8479, 66267-045, 50090-6356, 68071-2938, 68788-8261, 0093-4059, 68071-5234, 68788-7484, 50090-6050, 67296-1038, 63629-8253, 70518-3834, 70518-3580, 72189-445, 68071-2752, 50090-0580, 45865-503, 80425-0198, 0093-3196"
"Cefdinir","70518-1880, 68071-3156, 0093-4136, 0093-4137, 70518-2537, 50090-6171, 57237-099, 68071-1645, 63187-835, 71205-576, 72789-054, 50090-1033, 68071-2599, 50090-1034, 72789-061, 68788-8404, 67877-543, 67296-1448, 67296-1448, 63187-616, 82982-071, 50090-3723, 71205-380, 68001-362, 68180-711, 43063-959, 68071-5145, 68180-722, 68180-723, 43063-964, 68788-7844, 71205-405, 53002-2526, 63629-8968, 68071-3403, 65862-177, 68071-2683, 68788-7339, 50090-2719, 71205-183, 53002-2654, 60687-699, 67296-0765, 65862-218, 65862-219, 50090-6041, 50090-6042, 68788-7478, 0781-2176, 72189-423, 0093-3160, 71205-224, 63187-989, 68071-4007, 50090-6417, 68071-2975, 53002-1526, 70518-3577, 68788-7987, 68071-2401, 68788-8323, 67296-1216"
"cefdinir","50090-5811, 68788-8115, 68071-2564, 67877-547, 67877-548, 68788-8062, 68071-2493"
"Cephalexin","76420-288, 70518-3066, 72789-251, 68180-440, 72789-252, 68180-441, 50090-3252, 68071-4406, 68788-9326, 0093-2238, 68071-4429, 68071-4434, 50090-3291, 70518-3362, 0093-2240, 68788-9538, 68071-4465, 68788-9539, 42291-208, 42291-209, 80425-0004, 80425-0005, 65862-018, 80425-0006, 65862-019, 70518-3378, 68071-4516, 72162-2145, 71205-553, 55289-057, 55289-058, 69778-930, 70518-3059, 68788-9713, 69778-931, 76420-287, 60687-152, 82982-024, 50090-3427, 0904-7336, 60687-163, 0904-7337, 62250-801, 62250-802, 68788-7761, 63629-9435, 71205-591, 63629-9436, 63629-7739, 63629-7740, 67877-544, 63629-7742, 67877-545, 63629-7743, 53002-2180, 53002-2181, 53002-2182, 59651-728, 76420-034, 53002-2260, 24979-154, 50090-4795, 53002-2261, 24979-155, 63629-8854, 68788-7796, 70518-3448, 63629-8855, 63629-8856, 43063-497, 63629-8857, 63629-8858, 68071-5038, 82982-073, 50268-151, 50268-152, 76420-052, 63187-046, 43063-536, 0093-4175, 42708-017, 68180-121, 72162-1833, 68180-122, 68071-2889, 63629-7927, 76420-592, 76420-593, 0093-4177, 76420-594, 76420-595, 62135-710, 50090-0219, 50090-0220, 42708-070, 67296-0246, 53002-2540, 70518-2273, 43063-634, 68071-2246, 80425-0121, 42708-100, 68071-2249, 71205-672, 72287-310, 50090-2749, 43063-678, 68071-2940, 70934-040, 63629-8184, 42708-145, 0093-3145, 68071-3532, 67877-219, 67877-220, 68071-3538, 68071-5241, 68788-7938, 0093-3147, 63629-4222, 42582-211, 42582-212, 68071-2726, 67877-254, 67877-255, 69043-008, 69043-009, 45865-428, 68788-8538, 68788-7529, 62135-480, 62135-481, 50090-6445, 63629-9198, 63629-9199, 63629-9200, 70518-3595, 63629-9201, 63629-9202, 63629-9203, 63629-9204, 70518-3857, 63629-9205, 63629-9206, 63629-9207, 50090-3199, 50090-3202, 63187-205, 68071-4355, 70518-3871"
"cephalexin","76420-035, 62135-711"
"Ciprofloxacin","0615-8367, 60760-676, 70518-3887, 71335-1867, 67296-1848, 67296-1318, 63629-1724, 70518-3063, 82982-025, 67296-1389, 70518-3417, 55154-3368, 58657-675, 58657-676, 72189-304, 0904-7083, 42708-002, 71610-081, 71335-1393, 72789-108, 43063-547, 70518-0693, 72789-118, 50090-5483, 68788-8200, 35356-733, 67296-1479, 72789-124, 72789-125, 67296-0237, 68788-7864, 68071-2913, 42708-088, 51655-490, 53002-2641, 53002-2642, 53002-2644, 55111-126, 55111-127, 55111-128, 68788-7905, 60429-042, 68071-2267, 68071-2269, 50090-5621, 42708-146, 63629-3868, 67296-1575, 70518-2837, 16252-514, 16252-515, 53002-2791, 16252-516, 72789-193, 53002-2793, 53002-2794, 51655-086, 0143-9927, 80425-0164, 71335-2054, 0143-9928, 67296-1097, 70934-316, 0143-9929, 76420-214, 68788-9006, 68788-9024, 71205-749, 63629-1326, 68071-2525, 71335-2097"
"ciprofloxacin","70985-008, 67296-1269, 71335-0070, 43063-869, 71335-1640, 60760-815, 43063-410, 63187-017, 68071-1893, 63629-7786, 0904-7243, 63629-7950, 70985-011, 70985-012, 53002-2640, 66267-919, 50090-1649, 53002-2790, 63187-142, 51655-118, 63187-990, 0904-6378, 45865-471, 43063-767, 68071-4201, 71335-0408, 68788-9012, 45865-530, 16571-411, 68071-3013, 16571-412, 16571-413, 63629-5154, 68788-9280"
"Clindamycin+hydrochloride","51407-373, 50090-4575, 50090-1985, 51655-710, 63187-247, 50090-4661, 70518-0424, 82982-028, 50090-0967, 63304-692, 63304-693, 68071-2833, 68788-7753, 58118-6920, 0904-5959, 55154-7276, 68071-5013, 53002-2321, 53002-2322, 70518-2153, 71335-0200, 71335-1412, 53002-0620, 53002-0622, 70518-0732, 42571-250, 42571-251, 42571-252, 50268-185, 68071-5189, 60760-427, 68788-8219, 76420-614, 76420-615, 76420-616, 51655-964, 60760-484, 60760-487, 72789-167, 71205-444, 72789-180, 71335-0320, 68071-2286, 71335-1489, 63187-141, 70934-216, 72789-207, 76420-202, 55700-761, 67296-1702, 67296-1749"
"clindamycin+hydrochloride","67296-1798, 59762-3328, 0009-0331, 59762-5010, 69238-2121, 0009-0225, 0009-0395"
"Sulfamethoxazole+and+Trimethoprim","63629-1765, 53746-271, 68788-7622, 65162-271, 65162-272, 50090-5786, 50383-823, 80425-0001, 50383-824, 80425-0002, 80425-0003, 65862-496, 60760-069, 72789-018, 60760-069, 0121-0853, 51655-307, 71205-810, 71335-1309, 67296-1904, 50090-2198, 50090-2199, 50090-2200, 50090-2201, 63187-008, 67296-1916, 53002-2100, 82982-044, 72789-064, 70518-2604, 60687-603, 70518-3432, 60687-614, 68788-7122, 50268-728, 70518-3454, 50090-2479, 57237-232, 76420-064, 55154-7895, 57237-233, 42708-053, 61971-115, 61971-120, 67296-0227, 67296-1502, 67296-0387, 55700-611, 0121-0854, 53746-272, 67296-0474, 0527-5180, 68788-7345, 67296-1526, 53489-145, 70518-0863, 53489-146, 0527-5181, 63187-695, 62135-749, 67296-0724, 66267-816, 70934-049, 70954-258, 71335-0762, 60760-541, 70518-2838, 17856-0496, 67296-1612, 69043-010, 50090-5679, 69043-011, 50090-5680, 67296-1657, 50090-0525, 50090-5682, 42291-758, 42291-759, 60429-259, 67296-1129, 45865-475, 51655-188, 70934-544, 0904-2725, 65862-419, 65862-420, 0615-8121, 63187-782"
"sulfamethoxazole+and+trimethoprim","63629-1969, 62559-550, 66993-727"
"Doxycycline","62332-249, 62332-250, 72789-258, 71335-2109, 63304-130, 63304-131, 63304-132, 63304-173, 60219-1100, 70934-808, 67296-1858, 63304-614, 63304-615, 63304-616, 70518-1378, 72789-047, 55700-122, 72789-308, 72789-308, 51655-350, 82804-028, 0713-0570, 63629-7751, 68071-2617, 0713-0571, 72189-006, 0527-1535, 69238-1100, 0713-0572, 71205-616, 70771-1006, 70771-1007, 70771-1008, 0527-1537, 70771-1009, 71205-135, 70518-3729, 70710-1121, 71205-385, 70710-1122, 70710-1123, 70710-1124, 53002-0673, 53002-0674, 60687-344, 68084-743, 71335-1988, 46708-249, 46708-250, 62135-725, 62135-726, 50090-5983, 63187-936, 50090-5984, 70518-0038, 67296-1570, 60687-716, 70518-3801, 83008-031, 0527-1335, 72789-199, 67296-1025, 0527-1338, 67296-1688, 71335-9608, 71610-220, 23155-133, 23155-134, 23155-135, 23155-136, 67296-1762, 70934-499, 69238-1500, 69238-1501, 71335-0861, 68071-4354, 71335-2096"
"doxycycline","71335-2100, 40032-790, 40032-791, 40032-792, 60760-721, 64380-179, 64380-180, 64380-181, 68382-782, 64380-205, 64380-206, 51407-387, 64380-207, 64380-208, 67296-1385, 43386-790, 43386-791, 43386-792, 67296-2066, 82804-046, 68999-417, 67296-2083, 0069-0970, 76420-562, 68071-2152, 50090-4833, 49884-305, 70518-3488, 50268-280, 50268-281, 62135-417, 27808-233, 63187-712, 71335-1479, 55700-723, 63187-135, 49884-726, 49884-727, 63629-8212, 51407-678, 68071-2750, 70518-0187, 65841-821, 65841-822, 68071-2761, 65841-823, 50090-6783, 68382-706, 68382-707"
"Doxycycline+hyclate","68071-2787, 27241-153, 27241-154, 70518-3363, 70518-3039, 60760-215, 55154-7128, 50090-6212, 0904-0430, 71335-2179, 70934-995, 70771-1358, 70771-1359, 55289-866, 0143-2112, 55154-8079, 42192-501, 51655-998, 60429-069, 70771-1104, 42708-173, 71335-2086, 72578-054, 72578-055, 68071-2777"
"doxycycline+hyclate","71205-554, 69489-111, 23155-611, 72162-2186, 50090-5380, 62332-362, 62332-363, 68999-984, 70518-3706, 68999-985, 60219-2132, 50090-5560, 50090-5588, 71335-1768, 16110-601, 45865-116, 51862-557, 51862-558, 51862-560, 62135-984, 62135-985, 46708-362, 46708-363, 0069-0950, 23155-141, 23155-142, 23155-143, 71335-1549, 68382-708, 68382-709, 71205-518, 68382-710"
"Minocycline","42291-589, 42291-591, 49884-511, 49884-512, 49884-513"
"Minocycline+hydrochloride","68382-316, 68382-317, 68382-318, 51655-753, 63187-036, 80425-0314, 82868-017, 70771-1426, 70771-1427, 70771-1428, 63187-450"
"minocycline+hydrochloride","72143-221, 72143-222, 72143-223, 70771-1157, 70771-1167, 69489-121, 69489-122, 43353-172, 69489-123, 0115-9935, 0115-9936, 68382-531, 68382-533, 68382-535, 68382-551, 68382-552, 99207-463, 68071-5262, 99207-464, 99207-465, 99207-466, 99207-467, 70771-1138, 70771-1155, 70771-1156"
